Date,Symbol,Entry,Exit,Net_PnL_%,Net_Profit_USD,Reason
2026-05-25 20:13:32,NEAR/USDT,2.517,2.644,4.84,0.63,SL/Trailing (Остаток)
2026-05-25 21:50:19,ETH/USDT,2121.54,2137.96,0.57,0.04,TP (Фиксация 50%)
2026-05-26 00:01:06,ETH/USDT,2121.54,2126.28,0.02,0.0,SL/Trailing (Остаток)
2026-05-26 11:51:34,TRX/USDT,0.3752,0.3736,-0.63,-0.19,SL/Trailing (Остаток)
2026-05-26 13:04:20,RENDER/USDT,2.299,2.377,3.19,0.34,TP (Фиксация 50%)
2026-05-26 13:16:06,RENDER/USDT,2.299,2.364,2.62,0.28,SL/Trailing (Остаток)
2026-05-26 13:53:39,WLD/USDT,0.3541,0.373,5.13,0.39,TP (Фиксация 50%)
2026-05-26 15:05:37,WLD/USDT,0.3541,0.375,5.7,0.43,SL/Trailing (Остаток)
2026-05-26 20:02:20,TON/USDT,1.964,1.92,-2.44,-0.76,SL (Полный стоп)
2026-05-27 02:41:23,TON/USDT,1.997,1.947,-2.7,-0.83,SL/Trailing (Остаток)
2026-05-27 05:30:42,TRX/USDT,0.3756,0.3746,-0.47,-0.14,SL/Trailing (Остаток)
2026-05-27 11:02:02,WLD/USDT,0.375,0.3646,-2.97,-0.91,SL/Trailing (Остаток)
2026-05-27 18:40:16,RENDER/USDT,2.266,2.225,-2.01,-0.61,SL/Trailing (Остаток)
2026-05-28 08:18:28,XLM/USDT,0.1777,0.1716,-3.63,-1.09,SL/Trailing (Остаток)
2026-05-28 17:39:13,XLM/USDT,0.1783,0.1862,4.23,0.63,TP (Фиксация 50%)
2026-05-28 18:32:32,XLM/USDT,0.1783,0.1951,9.21,1.37,SL/Trailing (Остаток)
2026-05-29 05:55:00,XLM/USDT,0.2098,0.1966,-6.49,-1.96,SL (Полный стоп)
2026-05-29 05:55:01,HBAR/USDT,0.09226,0.0906,-2.0,-0.42,SL/Trailing (Остаток)
2026-05-30 00:32:08,XLM/USDT,0.21,0.2232,6.08,0.9,TP (Фиксация 50%)
2026-05-30 00:43:00,XLM/USDT,0.21,0.2335,10.98,1.62,SL/Trailing (Остаток)
2026-05-30 01:19:26,NEAR/USDT,2.61,2.517,-3.76,-0.78,SL/Trailing (Остаток)
2026-05-30 03:57:00,HBAR/USDT,0.09309,0.09513,1.99,0.48,TP (Полный тейк)
2026-05-30 04:48:59,HBAR/USDT,0.0961,0.09901,2.83,0.33,TP (Фиксация 50%)
2026-05-30 05:54:27,XLM/USDT,0.2472,0.2705,9.22,1.05,TP (Фиксация 50%)
2026-05-30 06:01:38,XLM/USDT,0.2472,0.2664,7.56,0.86,SL/Trailing (Остаток)
2026-05-30 06:23:16,HBAR/USDT,0.0961,0.1077,11.86,1.38,SL/Trailing (Остаток)
2026-05-30 09:07:37,DOGE/USDT,0.10151,0.10088,-0.82,-0.26,SL/Trailing (Остаток)
2026-05-30 18:01:48,HBAR/USDT,0.09887,0.10105,2.0,0.31,TP (Фиксация 50%)
2026-05-30 18:26:21,HBAR/USDT,0.09887,0.10016,1.1,0.17,SL/Trailing (Остаток)
2026-05-30 22:33:13,ADA/USDT,0.2371,0.2358,-0.75,-0.16,SL/Trailing (Остаток)
2026-05-31 03:07:19,XRP/USDT,1.3491,1.3421,-0.72,-0.11,SL (Полный стоп)
2026-05-31 03:23:33,DOGE/USDT,0.10117,0.10076,-0.6,-0.19,SL (Полный стоп)
2026-05-31 04:22:16,WLD/USDT,0.3611,0.3428,-5.26,-0.91,SL/Trailing (Остаток)
2026-05-31 07:29:34,ETH/USDT,2036.52,2028.79,-0.58,-0.12,SL/Trailing (Остаток)
2026-05-31 07:29:54,SOL/USDT,83.32,82.94,-0.66,-0.2,SL/Trailing (Остаток)
2026-05-31 15:24:56,HBAR/USDT,0.09785,0.0962,-1.88,-0.58,SL (Полный стоп)
2026-05-31 16:23:52,XLM/USDT,0.2439,0.2553,4.47,0.48,TP (Фиксация 50%)
2026-05-31 16:29:51,XLM/USDT,0.2439,0.2575,5.37,0.58,SL/Trailing (Остаток)
2026-05-31 19:15:06,TON/USDT,1.902,1.866,-2.09,-0.31,SL (Полный стоп)
2026-05-31 19:42:41,XLM/USDT,0.265,0.2518,-5.18,-1.36,SL/Trailing (Остаток)
2026-05-31 20:53:20,WLD/USDT,0.3386,0.3277,-3.42,-1.03,SL/Trailing (Остаток)
